,Player,year,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,all_nba_tm,Position,W,L,traded,num_all_nba,all_nba_nxt_yr,all_nba_c_year,all_nba_n_year
2686,Darryl Dawkins,1985,C,0.5531720029724427,BKN,-0.862555264995692,0.019158001152673913,0.38488971981596887,0.4549625032989402,0.20634363789988006,1.1602828002804508,-0.4418031073740392,-0.5799417629203515,-0.7493070217772363,0.4914782594370396,0.2684389267649082,1.1152104157935336,1.1066236330816421,1.127777289688852,1.3511132395645489,-0.08905463421345808,0.1700595935470166,0.369618810477844,0.3159107843461238,-0.5118066927871948,-0.6585753576996972,0.7435803780622815,0.9659130940955869,2.3739485833176923,0.6109477019708985,0.37022406176545397,1.1886512038371666,-0.5825924925277568,1.4369695756249714,-0.12183021337261515,0.34191447044636364,0.15937577068142977,-0.8175349592677363,-1.0226118210898392,0.6451817704146574,0.1711709692950049,0.5150061392479184,-0.13569132697660677,-0.4763793116983792,-0.28353543591203556,0.45552957003876876,-0.11349435081107678,-0.3990610290899448,-0.2500345954495595,-0.6613630820886316,None,C,0.08178460792519844,40.0,0,0,None,0,0
17643,Tiago Splitter,2014,C,0.5909694897049016,SAS,0.22441829085546236,0.8216377132447674,0.14472516060534263,0.026583108643921265,-0.19493033656505523,0.8618286292118614,-0.9091831300726004,-0.9403101220035449,-1.407270688706204,0.3593568709344732,0.21151503385658882,0.5769709006353245,0.4243730905825854,0.5077762231691458,0.5978867614949942,0.029927683198400765,1.441866927167306,0.8293588229569088,1.0772266533079655,-0.15742782383592596,-0.3067401575401373,0.24658088695282454,0.15399768462435137,0.29414715935777264,0.014059071136187528,0.480718223846243,0.6066735766263106,-1.165287629786976,0.6670264561111454,0.795716280022169,0.9100208367562701,1.0348966404479674,-0.26593197195272894,-0.39329671170423597,0.1635634797763121,0.12451238334361547,-0.13603768683534537,0.4566280612654326,0.7003091160735043,0.5670576541986048,0.6969996532311389,0.28814214291885487,0.6006666040897103,0.49839840512229683,0.1329719322302287,None,C,1.7195581434061056,20.0,0,0,None,0,0
2114,Tom McMillen,1983,C,1.1819832081773483,ATL,-0.0006678563699014056,-0.8230670772497326,0.13291519702889637,-0.20511366625970245,-0.14916857801974528,0.014159606982058254,-0.4395172505684542,-0.6055476322925882,-0.7792276800911471,-0.18903327013241034,-0.13175586458002925,-0.053445613553182406,-0.02905082543902957,-0.00649928260823628,-0.13759634032984525,0.7238652235881576,-0.4305876526744434,0.02016159007700235,-0.09541306397978196,-0.5557665126641202,-0.9071037408610158,-0.12799000890684412,-0.3807740955253736,-0.01988275160592089,-0.15467335713796024,-0.5113088581980783,0.20074415920792507,-0.5716757574550585,-0.10950171194571705,-0.6415746021413797,-0.13180520582823138,-0.32951184788092563,-0.7106935085420233,-1.3670274176690391,-0.16093404042595216,-0.46286458614630294,-0.37389908624032425,-0.34777553177862663,-0.15074123424443897,-0.31754331864574714,-0.09552735755972339,-0.35021187119427216,-0.32052028308480335,-0.4540862051552213,-0.6263505606977817,None,C,0.19017877350529763,39.0,0,0,None,0,0
1413,Alvan Adams,1982,C,0.3007722441676679,PHX,0.7416673721057397,1.4891855375123206,0.9595394423406511,1.0913066953951904,1.1367780220001051,0.25539456338661554,-0.3921855894038043,-0.5463611294848784,-0.7160309977190035,1.1211169408880914,1.2017304795917858,0.18662323989619975,0.2122686539210915,0.3436165625640125,0.2466731442048976,0.5078429601243414,0.5010356054500552,1.689657201001434,1.3446600679414709,1.2762702545603941,1.3089585087663258,1.0579218641326564,1.19862837310399,1.1623088689414856,0.9372513059298931,1.1171608253721825,0.15287186721602933,-0.4917289496533059,-0.582305647221028,0.02727126024361321,1.2108998496115926,0.898152767564977,1.0760494927312392,0.6777241914027357,0.6098369672148946,-0.23563575928829683,0.8057645182224336,0.44931437046819067,2.4028839002851043,1.3673344813970478,0.9793452311279779,1.056513375785832,1.8534389470756254,1.818109749050728,2.0114320663630574,None,C,0.44081022170161005,36.0,0,0,None,0,0
12040,Jahidi White,2005,C,0.262299300665733,CHA,-1.4565098018869975,-0.8980378187555444,-1.2475967633313174,-1.0141902378681913,-1.0659713557099308,0.23602277747048012,-0.7362875166380076,-0.799126012495647,-1.2033375145031264,-0.9003459512592894,-0.9367287705575477,0.0359356634140987,-0.09021622729792668,-0.5315069522115362,0.11131137649169659,-1.8897244929762382,-0.5258349574152336,-0.6545986566547282,-0.6443105300900527,-0.9538585033173951,-1.2195803938675083,0.5617300539174234,-0.7637739585331389,-0.2757909562792591,-0.9222232348673194,-0.9126236419927638,-0.7867897687314044,-0.9754281630095204,4.412305287395247,0.614367663385284,1.188032118969064,0.9770451866076324,-1.2425841768611425,-0.8856738516469631,3.114222348327686,0.6184152761833549,0.19195478666162155,-0.7849653117913451,-0.8931253242855522,-0.9161265777971533,-1.2435507020684984,-1.8528592858432065,0.17647389398899474,-1.44076962860954,-0.6018975832978912,None,C,-1.8660375937105647,64.0,0,0,No data/Retired,0,0
5968,Dave Hoppen,1993,C,0.28003867767173074,BKN,-2.2391523433538203,-0.9231992946212979,-1.5098625222084399,-1.263407662799716,-1.4492410391872546,7.530694890277327,-0.5883266405392027,-0.6759524595392932,-1.066570905699402,-1.2364692412652398,-1.4360898320685977,6.861850663517076,7.15615382863942,-1.2458994927856557,-0.7686875072471355,-4.487627922782995,-0.7635720468385918,-0.5235962257356807,-0.6189872701419314,-1.042338073297598,-1.4008835232797214,-0.7770048630667195,-1.6471798470610677,-1.1861914062035137,-1.294562410682809,-0.9975974927903521,0.25648400466762994,-0.7805476133127881,9.32753897564448,0.9037697198144388,3.0356193228350743,2.3933333427132335,-1.51906046410654,-1.9582464844459182,-0.974754581008208,-2.7841627807082343,-2.2508120237102585,-0.6968804893521213,-1.0509642683784917,-0.914169573474096,0.17506148015012232,-1.0064482021779126,-1.0820756562914882,-1.3003729434251718,-0.46670887187298393,None,C,0.1969831009499907,39.0,0,0,No data/Retired,0,0
8332,Stojko Vranković,1997,C,1.2937907403940305,MIN,-0.03365629238334766,0.2635138024208401,-0.5595539774398137,-0.6674897455574118,-0.8717020117983182,1.4505036924494694,-0.767683104094838,-0.826523183373763,-1.2317043421514524,-0.4961647151747827,-0.6770164894370839,1.1349280182587278,1.0542679720735388,-0.7589203357791271,-0.7845806838667594,-0.08474258906873709,-0.009837804052433537,-0.1822548473428866,-0.12916092895635847,-0.8075854830844409,-0.993524817786903,1.6998165282796407,-0.34583270433401075,0.3623911468437886,-0.7648334806705299,-0.46765776323035807,0.8694206756363823,-1.0283328283137434,-0.3606441840132349,0.5212377589854671,0.49382635012192416,0.5670494593270473,-1.0845051931729939,-0.8601720763979058,1.2021365953886376,1.597890750869648,-1.245521579454209,-0.7016569682014676,-0.31512900658218584,-0.5720709239745096,-0.15886546720788552,-0.8138789167086318,0.42488215721492123,-0.25919530888497144,-0.6314667493575213,None,C,-0.03120180567344798,42.0,0,0,None,0,0
7592,Joe Kleine,1996,C,1.7362794583495669,PHX,0.0064774811595852315,-0.6151983773508825,-0.8479567398332489,-0.8292908741214305,-0.8437426961418315,-0.32457482967673956,-0.74790143616913,-0.7491366022724398,0.2435289710596289,-0.7199819600191675,-0.6671568552579008,-0.45327210809431173,-0.6161628830530657,-0.909668385599369,-1.0356433134226912,0.5971539621625811,-0.5780889792599546,-0.4168171285306967,-0.44387511000486013,-0.5861729757729043,-1.0236617403162824,-0.6108301331335044,-0.7698696107534924,-0.11639269583535479,-0.9222126388062861,-1.0958048620827503,-0.7726818913612309,-0.7525007598884862,-1.0899221249521136,-0.06106688713416092,0.4895748658175359,0.2805708804493404,-0.3902380354580283,-0.6611216502195433,-0.5113343014197381,0.18088382963290048,-0.8648479301876549,-0.7869244211471166,-0.7447350914387408,-0.8481818177520263,-0.7806581594158857,-0.9920651055399456,-0.40214736041256854,-0.9534640859620296,-0.9220345994785653,None,C,0.021168440988550526,41.0,0,0,None,0,0
16396,Chris Johnson,2012,C,-0.1505095637195264,TOT,-0.8303906403828655,-0.8981957501619492,-1.5572265437260016,-1.1301473035438043,-1.2339220065602512,0.6626053653471856,-0.8666250103153625,-0.9594684004775894,-1.3375248809112272,-0.9496131995292069,-1.01157247970673,0.36033493037331704,0.26088981544059875,-0.6261710179739529,-0.7256611872991597,0.4736620920904514,-0.4370034400351089,-1.0292040031726255,-0.8780940705010326,-0.931643582270609,-1.091008565888541,-0.27884990672730503,-0.7832398452690665,-0.7424256175419843,-1.0824843262171586,-0.360990434279832,0.6500032346668894,-1.0857164028278201,0.9814420006087042,1.0621589572529608,0.3927061550307956,0.7488662550654123,-1.1068108586629926,0.33161076673762363,1.3303082414426401,1.5994091060209707,-0.2779567082611295,-0.64731623011686,-0.8398491351607855,-0.7952672907591504,-0.18792838581782248,-1.3993036909128032,0.49454030238325525,-0.9654627888768244,-0.5775152199180102,None,C,-0.5641868204942418,49.0,1,0,No data/Retired,0,0
6974,Julius Nwosu,1995,C,-1.151493782097515,SAS,-1.2704140351567061,-0.9124798536372997,-1.6154030832253299,-1.2213207486690985,-1.2231381521626339,-1.2540582952187056,-0.7262613348646969,-0.7967771149579954,-1.234395019421914,-1.1295162905193397,-1.107864496339928,-1.3732100154946356,-1.5001807990935148,-0.7844480956648497,-0.8815381262537182,0.35013796935525704,-0.6590019214626294,-0.996053194103196,-0.9464904610444963,-0.9691298298279253,-1.4153188807349826,-0.6033615378750576,-1.1243730914375456,-1.4504983390685837,-1.1791300136863019,-0.9900172203387542,-0.821336442749824,-0.9462734193904705,1.246831537237783,1.9468387297329384,0.5097358024242631,1.2322539623092457,-0.8624226503049999,-1.302918068799403,0.6451432200544879,0.8666378558205795,0.7622892441447784,-0.7276751413269364,-0.981469446561163,-0.8985988835228831,-0.8577280620992545,-1.4653189691754873,-0.7926628906431175,-1.5071775197179693,-0.6024939232344316,None,C,1.6382456021571452,20.0,0,0,No data/Retired,0,0
