Model,Accuracy,Precision,Recall,F-1 Score,ROC-AUC
Logistic Regression,0.9551122194513716,0.8125,0.8125,0.8125,0.9689565627950897
Random Forest,0.940149625935162,0.75,0.75,0.75,0.9640580736543909
XGBoost,0.940149625935162,0.75,0.75,0.75,0.9704320113314447
Ensemble,0.9501246882793017,0.7916666666666666,0.7916666666666666,0.7916666666666666,0.97078611898017
