Model,Accuracy,Precision,Recall,F-1 Score,ROC-AUC
Logistic Regression,0.9547900968783638,0.825,0.825,0.825,0.9751957148743304
Random Forest,0.9440258342303552,0.7833333333333333,0.7833333333333333,0.7833333333333333,0.9735681911825298
XGBoost,0.9483315392895587,0.8,0.8,0.8000000000000002,0.9771322620519158
Ensemble,0.946178686759957,0.7916666666666666,0.7916666666666666,0.7916666666666666,0.9759167696744953
