Model,Accuracy,Precision,Recall,F-1 Score,ROC-AUC
Logistic Regression,0.9627659574468085,0.8541666666666666,0.8541666666666666,0.8541666666666666,0.9818978658536586
Random Forest,0.9468085106382979,0.7916666666666666,0.7916666666666666,0.7916666666666666,0.9777057926829268
XGBoost,0.9521276595744681,0.8125,0.8125,0.8125,0.9791666666666666
Ensemble,0.9521276595744681,0.8125,0.8125,0.8125,0.9829776422764227
