Model,Accuracy,Precision,Recall,F-1 Score,ROC-AUC
Logistic Regression,0.9600997506234414,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.965828611898017
Random Forest,0.9451371571072319,0.7708333333333334,0.7708333333333334,0.7708333333333333,0.9625236071765817
XGBoost,0.940149625935162,0.75,0.75,0.75,0.9603989612842305
Ensemble,0.940149625935162,0.75,0.75,0.75,0.9680122757318225
