Model,Accuracy,Precision,Recall,F-1 Score,ROC-AUC
Logistic Regression,0.9569429494079655,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.975370828182942
Random Forest,0.9440258342303552,0.7833333333333333,0.7833333333333333,0.7833333333333333,0.972929542645241
XGBoost,0.9483315392895587,0.8,0.8,0.8000000000000002,0.9757622579316028
Ensemble,0.9483315392895587,0.8,0.8,0.8000000000000002,0.9747424804285126
