Model,Accuracy,Precision,Recall,F-1 Score,ROC-AUC
Logistic Regression,0.9590958019375673,0.8416666666666667,0.8416666666666667,0.8416666666666667,0.9897713226205191
Random Forest,0.9483315392895587,0.8,0.8,0.8000000000000002,0.9874536464771323
XGBoost,0.9483315392895587,0.8,0.8,0.8000000000000002,0.9857746188710341
Ensemble,0.9547900968783638,0.825,0.825,0.825,0.9929439637412443
