Model,Accuracy,Precision,Recall,F-1 Score,ROC-AUC
Logistic Regression,0.9473684210526315,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.9674479166666666
Random Forest,0.9736842105263158,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9791666666666666
XGBoost,0.9736842105263158,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9811197916666666
Ensemble,0.9736842105263158,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9798177083333334
