Model,Accuracy,Precision,Recall,F-1 Score,ROC-AUC
Logistic Regression,0.9574468085106383,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.978658536585366
Random Forest,0.9468085106382979,0.7916666666666666,0.7916666666666666,0.7916666666666666,0.978150406504065
XGBoost,0.9521276595744681,0.8125,0.8125,0.8125,0.9805640243902438
Ensemble,0.9521276595744681,0.8125,0.8125,0.8125,0.9799923780487805
